conversations
"[{'from': 'human', 'value': 'Correct this sentence: These arerthe quetMios n a debaWe aou the internWt'}, {'from': 'gpt', 'value': 'These are the questions in a debate about the internet'}]"
"[{'from': 'human', 'value': 'Correct this sentence: In muchGof DhQe rest of Europe weveSgoQ bears lynx and wolescoming back'}, {'from': 'gpt', 'value': 'In much of the rest of Europe weve got bears lynx and wolves coming back'}]"
"[{'from': 'human', 'value': 'Correct this sentence: If it works in theb ret of EuropeJtheres absoxutelp No reason why i cant wrk in the UK Ke sJdi'}, {'from': 'gpt', 'value': 'If it works in the rest of Europe theres absolutely no reason why it cant work in the UK he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He aJdded that bearskafnd wolves live less tha na hour away from Rome'}, {'from': 'gpt', 'value': 'He added that bears and wolves live less than an hour away from Rome'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Theres no reason lhy we cant have asimqilarreFturn of wildlifx inn he UK'}, {'from': 'gpt', 'value': 'Theres no reason why we cant have a similar return of wildlife in the UK'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Behyw ant a new life in France'}, {'from': 'gpt', 'value': 'They want a new life in France'}]"
"[{'from': 'human', 'value': 'Correct this sentence: fhe French language is vey difficult bt we qtry hard'}, {'from': 'gpt', 'value': 'The French language is very difficult but we try hard'}]"
"[{'from': 'human', 'value': 'Correct this sentence: f we come every day mayAbe our dreamC will ome true says Kamal a refugne from Sudan'}, {'from': 'gpt', 'value': 'If we come every day maybe our dreams will come true says Kamal a refugee from Sudan'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He comse to thNee oOr ofur hours of claBssese ery day'}, {'from': 'gpt', 'value': 'He comes to three or four hours of classes every day'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Its a QKoIod thin to keep pour brain actiBve'}, {'from': 'gpt', 'value': 'Its a good thing to keep your brain active'}]"
"[{'from': 'human', 'value': 'Correct this sentence: hey want to learn the language of their new hpme'}, {'from': 'gpt', 'value': 'They want to learn the language of their new home'}]"
"[{'from': 'human', 'value': 'Correct this sentence: I want Qpeople in the UK to konw that not everyone ants to go there'}, {'from': 'gpt', 'value': 'I want people in the UK to know that not everyone wants to go there'}]"
"[{'from': 'human', 'value': 'Correct this sentence: There aGre a lot of people hgere who want tos tay in LFrance Kamal said'}, {'from': 'gpt', 'value': 'There are a lot of people here who want to stay in France Kamal said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: FRance already has more thanh a quarter of a hillionO refugees'}, {'from': 'gpt', 'value': 'France already has more than a quarter of a million refugees'}]"
"[{'from': 'human', 'value': 'Correct this sentence: There are lso 56000 ayslum seekersm wh ae waitinw gto see if ahey can stay i Frnace'}, {'from': 'gpt', 'value': 'There are also 56000 asylum seekers who are waiting to see if they can stay in France'}]"
"[{'from': 'human', 'value': 'Correct this sentence: While Hthey ait WorZan aJnswe France does not give them any coney or allow tzem to wor'}, {'from': 'gpt', 'value': 'While they wait for an answer France does not give them any money or allow them to work'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The wait an take many lmonths'}, {'from': 'gpt', 'value': 'The wait can take many months'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The jungel camp offeqs a free meal a da and a plastic roof over their heads'}, {'from': 'gpt', 'value': 'The jungle camp offers a free meal a day and a plastic roof over their heads'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Some sLf the asylum seekers sgugested the idea for the schPool at the start of the summer'}, {'from': 'gpt', 'value': 'Some of the asylum seekers suggested the idea for the school at the start of the summer'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The school opened on 11 July'}, {'from': 'gpt', 'value': 'The school opened on 11 July'}]"
"[{'from': 'human', 'value': 'Correct this sentence: We did it so people canlearn French said ZJmarco Jones he cshools Nigerian founder'}, {'from': 'gpt', 'value': 'We did it so people can learn French said Zimarco Jones the schools Nigerian founder'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He arDivzd in Calais in 2013 pnd iG still watiing to hera if he will be allowed to stay in France'}, {'from': 'gpt', 'value': 'He arrived in Calais in 2013 and is still waiting to hear if he will be allowed to stay in France'}]"
"[{'from': 'human', 'value': 'Correct this sentence: NoPw e need o build anotehr school he says with a grn'}, {'from': 'gpt', 'value': 'Now we need to build another school he says with a grin'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The tdny clasrWo mcan hold 30 pupils'}, {'from': 'gpt', 'value': 'The tiny classroom can hold 30 pupils'}]"
"[{'from': 'human', 'value': 'Correct this sentence: There are also claDsses o nEnglsih art and tai chi'}, {'from': 'gpt', 'value': 'There are also classes in English art and tai chi'}]"
"[{'from': 'human', 'value': 'Correct this sentence: BuLt the Frnch lessonX are zthe most popular'}, {'from': 'gpt', 'value': 'But the French lessons are the most popular'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Hhphtaechers are volunters from Calis and other places'}, {'from': 'gpt', 'value': 'The teachers are volunteers from Calais and other places'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Anywheer tGere is peace I can stay nol problem he says'}, {'from': 'gpt', 'value': 'Anywhere there is peace I can stay no problem he says'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He is alrGeady waiting at tYhe classroom more than alfan hoFur before vhis teacchrsharrive'}, {'from': 'gpt', 'value': 'He is already waiting at the classroom more than half an hour before his teachers arrive'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Jeny Flahauu 33 who woFks at a childns home voQlunteere dwhn she saRw an advertisemnet on aFcebook'}, {'from': 'gpt', 'value': 'Jenny Flahaut 33 who works at a childrens home volunteered when she saw an advertisement on Facebook'}]"
"[{'from': 'human', 'value': 'Correct this sentence: I stw thesepeolIein Calais eevry day and I wantedd to do something for them she said'}, {'from': 'gpt', 'value': 'I saw these people in Calais every day and I wanted to do something for them she said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: kostP of them are very good people'}, {'from': 'gpt', 'value': 'Most of them are very good people'}]"
"[{'from': 'human', 'value': 'Correct this sentence: They arx wecoming and friedly'}, {'from': 'gpt', 'value': 'They are welcoming and friendly'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The teachers and Zimarco now plan  adseparate classroom tfor around 200 women and 20 children'}, {'from': 'gpt', 'value': 'The teachers and Zimarco now plan a separate classroom for around 200 women and 20 children'}]"
"[{'from': 'human', 'value': 'Correct this sentence: There are ten tims more mecn than womenb ien the CalLi caamp'}, {'from': 'gpt', 'value': 'There are ten times more men than women in the Calais camp'}]"
"[{'from': 'human', 'value': 'Correct this sentence: ZimaMrcophas morereams for making the camp a plcae to live not mjust survive'}, {'from': 'gpt', 'value': 'Zimarco has more dreams for making the camp a place to live not just survive'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He wants to strat afootball teamf r migrant and dreams of changing the lcamp name'}, {'from': 'gpt', 'value': 'He wants to start a football team for migrants and dreams of changing the camp name'}]"
"[{'from': 'human', 'value': 'Correct this sentence: H hates the jungle because hWe says it mNodunds like the rQeidents arTent people'}, {'from': 'gpt', 'value': 'He hates the jungle because he says it sounds like the residents arent people'}]"
"[{'from': 'human', 'value': 'Correct this sentence: We have a discotheque a houseZ a mosque a schPool shops he says'}, {'from': 'gpt', 'value': 'We have a discotheque a house a mosque a school shops he says'}]"
"[{'from': 'human', 'value': 'Correct this sentence: ItCs aquestin that some people still ask'}, {'from': 'gpt', 'value': 'Its a question that some people still ask'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Many bicycl shoGps in the US do not sell ebikss'}, {'from': 'gpt', 'value': 'Many bicycle shops in the US do not sell ebikes'}]"
"[{'from': 'human', 'value': 'Correct this sentence: PUzzi i CEcOn of Currie Technologies the number one seller oz ebikesHi the US'}, {'from': 'gpt', 'value': 'Pizzi is CEO of Currie Technologies the number one seller of ebikes in the US'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He beleives thatthingD wtill chalnge verysoon'}, {'from': 'gpt', 'value': 'He believes that things will change very soon'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Other people who sell bikes aggree'}, {'from': 'gpt', 'value': 'Other people who sell bikes agree'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The US Zis different from other ountries when it comes to electric bikes'}, {'from': 'gpt', 'value': 'The US is different from other countries when it comes to electric bikes'}]"
"[{'from': 'human', 'value': 'Correct this sentence: They arUe popular Oin manMyeparts of EurwoTpe too'}, {'from': 'gpt', 'value': 'They are popular in many parts of Europe too'}]"
"[{'from': 'human', 'value': 'Correct this sentence: You canu sually ride ebicycles onbike lanes and thFeycannt travel vater than 20mph'}, {'from': 'gpt', 'value': 'You can usually ride ebicycles on bike lanes and they cant travel faster than 20mph'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Ebikes are bannted in some sYates in the US including New ork'}, {'from': 'gpt', 'value': 'Ebikes are banned in some states in the US including New York'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Some bike shopsdont rliek puttin gmotorsp on sicycles boexRause it makes them too feavy'}, {'from': 'gpt', 'value': 'Some bike shops dont like putting motors on bicycles because it makes them too heavy'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Sme ebikes Meigh nearly 30kg'}, {'from': 'gpt', 'value': 'Some ebikes weigh nearly 30kg'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Ebikes are alsoexpensive'}, {'from': 'gpt', 'value': 'Ebikes are also expensive'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The best bikes cost moer than 3000'}, {'from': 'gpt', 'value': 'The best bikes cost more than 3000'}]"
"[{'from': 'human', 'value': 'Correct this sentence: uL ebike technology particularly the batNteries is miproving'}, {'from': 'gpt', 'value': 'But ebike technology particularly the batteries is improving'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Themaia reaKson they stoped ridin bikes wasS because of hills'}, {'from': 'gpt', 'value': 'The main reason they stopped riding bikes was because of hills'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Pedego ahs opened nealry 60 storestin the US'}, {'from': 'gpt', 'value': 'Pedego has opened nearly 60 stores in the US'}]"
"[{'from': 'human', 'value': 'Correct this sentence: ElectroBikNe ahs 30j nstores in Mexincj'}, {'from': 'gpt', 'value': 'ElectroBike has 30 stores in Mexico'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He tesl customrs Ride tZhisbike onLe and try neot ot smile'}, {'from': 'gpt', 'value': 'He tells customers Ride this bike once and try not to smile'}]"
"[{'from': 'human', 'value': 'Correct this sentence: CuGrries Larry Pizzi thinks tha ebikes will become popular inN ortm America'}, {'from': 'gpt', 'value': 'Curries Larry Pizzi thinks that ebikes will become popular in North America'}]"
"[{'from': 'human', 'value': 'Correct this sentence: A lot of youRg people aQre usng eSbikes lo transpVortation instegd of cars'}, {'from': 'gpt', 'value': 'A lot of young people are using ebikes for transportation instead of cars'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Thkre is evne a cGrgo bike wft a strounger motro and rack atm the backc'}, {'from': 'gpt', 'value': 'There is even a cargo bike with a stronger motor and rack at the back'}]"
"[{'from': 'human', 'value': 'Correct this sentence: You can carry tw chidlren says Pizzi'}, {'from': 'gpt', 'value': 'You can carry two children says Pizzi'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Yok cnP cfarry 45kg of shopping'}, {'from': 'gpt', 'value': 'You can carry 45kg of shopping'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Its a mBnUa alternative'}, {'from': 'gpt', 'value': 'Its a minivan alternative'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The man has now returnqd from thetriop with the woman he chse'}, {'from': 'gpt', 'value': 'The man has now returned from the trip with the woman he chose'}]"
"[{'from': 'human', 'value': 'Correct this sentence: UnfoVtunjatelL people who followedD vhe stry ere disappointek dbecause the pai diud aop fall gi love'}, {'from': 'gpt', 'value': 'Unfortunately people who followed the story were disappointed because the pair did not fall in love'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Aaxni became famous in 2014 hwen he offered an air ticekt toane Canadian named Eeizabetb Gallagher'}, {'from': 'gpt', 'value': 'Axani became famous in 2014 when he offered an air ticket to any Canadian named Elizabeth Gallagher'}]"
"[{'from': 'human', 'value': 'Correct this sentence: AaTnis new travelling companijn was oXf course called lizabth Gallagher'}, {'from': 'gpt', 'value': 'Axanis new travelling companion was of course called Elizabeth Gallagher'}]"
"[{'from': 'human', 'value': 'Correct this sentence: She wDas a23yearold student from Cole HarbRour Nova Scotia'}, {'from': 'gpt', 'value': 'She was a 23yearold student from Cole Harbour Nova Scotia'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Bexfore the trip she already had a boyfriend'}, {'from': 'gpt', 'value': 'Before the trip she already had a boyfriend'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Bu tpeople still Khoped tMat the globetroPters mighKt fallJ in Love'}, {'from': 'gpt', 'value': 'But people still hoped that the globetrotters might fall in love'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Unfortunately they didnt'}, {'from': 'gpt', 'value': 'Unfortunately they didnt'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Im going to be very clea Axani saiod soDon aftre the pair retuWrned sto ToroSto'}, {'from': 'gpt', 'value': 'Im going to be very clear Axani said soon after the pair returned to Toronto'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The trip was never ua romantic idea'}, {'from': 'gpt', 'value': 'The trip was never a romantic idea'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It wIs completel platonic'}, {'from': 'gpt', 'value': 'It was completely platonic'}]"
"[{'from': 'human', 'value': 'Correct this sentence: I do not think of Quinn ina romantic way at all'}, {'from': 'gpt', 'value': 'I do not think of Quinn in a romantic way at all'}]"
"[{'from': 'human', 'value': 'Correct this sentence: She is a good friend'}, {'from': 'gpt', 'value': 'She is a good friend'}]"
"[{'from': 'human', 'value': 'Correct this sentence: I thineG of her as a little sister tjZat is ll'}, {'from': 'gpt', 'value': 'I think of her as a little sister  that is all'}]"
"[{'from': 'human', 'value': 'Correct this sentence: But it wal difficlt tG cretfe that rbothersister relatioshi'}, {'from': 'gpt', 'value': 'But it was difficult to create that brothersister relationship'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It wkasnt easy and it wasnt immediate'}, {'from': 'gpt', 'value': 'It wasnt easy and it wasnt immediate'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It took u about  week mto really understand eah other Axan sasd'}, {'from': 'gpt', 'value': 'It took us about a week to really understand each other Axani said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: They mamd esome mistakex ads the pair goM to know each other'}, {'from': 'gpt', 'value': 'They made some mistakes as the pair got to know each other'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The pair did not jall in love but APani saiuhthe tPrip was fyntastic'}, {'from': 'gpt', 'value': 'The pair did not fall in love but Axani said the trip was fantastic'}]"
"[{'from': 'human', 'value': 'Correct this sentence: They visitedMilan Venice VienZna Prague hay Lka in Thailand and HongK ong'}, {'from': 'gpt', 'value': 'They visited Milan Venice Vienna Prague Khao Lak in Thailand and Hong Kong'}]"
"[{'from': 'human', 'value': 'Correct this sentence: A favojrite bplaec was Prague Aami sid whee they met omre people thn anywhere elsej on he trip'}, {'from': 'gpt', 'value': 'A favourite place was Prague Axani said where they met more people than anywhere else on the trip'}]"
"[{'from': 'human', 'value': 'Correct this sentence: DuringLtwo ant a hal fdays I think we mtsabout 24 people'}, {'from': 'gpt', 'value': 'During two and a half days I think we met about 24 people'}]"
"[{'from': 'human', 'value': 'Correct this sentence: PeMople followed the pair on Twitter ande Instagarm AxaOi sid'}, {'from': 'gpt', 'value': 'People followed the pair on Twitter and Instagram Axani said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: nAd they miere een Xecognized in the street in Hong Kong'}, {'from': 'gpt', 'value': 'And they were even recognized in the street in Hong Kong'}]"
"[{'from': 'human', 'value': 'Correct this sentence: e learned a lot about ourselves and about each other'}, {'from': 'gpt', 'value': 'We learned a lot about ourselves and about each other'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Axani arrived back in Toronto at 3amand wentd irectly tpo a meeting at hLiRs charity ATicket Forward'}, {'from': 'gpt', 'value': 'Axani arrived back in Toronto at 3am and went directly to a meeting at his charity A Ticket Forward'}]"
"[{'from': 'human', 'value': 'Correct this sentence: axani also wants to utErn his story into  Nelevisimon show hr film he bsaed'}, {'from': 'gpt', 'value': 'Axani also wants to turn his story into a television show or film he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Theres been lots of interest from mansy productioqn companies'}, {'from': 'gpt', 'value': 'Theres been lots of interest from many production companies'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Axai said he wasB not looking for hisnext Elizabeuh Gallaghery et'}, {'from': 'gpt', 'value': 'Axani said he was not looking for his next Elizabeth Gallagher yet'}]"
"[{'from': 'human', 'value': 'Correct this sentence: m not loofing for anything'}, {'from': 'gpt', 'value': 'Im not looking for anything'}]"
"[{'from': 'human', 'value': 'Correct this sentence: BuEt well see he said'}, {'from': 'gpt', 'value': 'But well see he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Asalways life is a journey'}, {'from': 'gpt', 'value': 'As always life is a journey'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The maLnX who was wearignxnly ulderpants told hisr escluersthat he drifted in the 7'}, {'from': 'gpt', 'value': 'The man who was wearing only underpants told his rescuers that he drifted in the 7'}]"
"[{'from': 'human', 'value': 'Correct this sentence: 3metre boat since he left Mexico for El Salvador in eSptebehr2012'}, {'from': 'gpt', 'value': '3metre boat since he left Mexico for El Salvador in September 2012'}]"
"[{'from': 'human', 'value': 'Correct this sentence: A friend died at sea seeUral months before Pe said'}, {'from': 'gpt', 'value': 'A friend died at sea several months before he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The mansaid his name wa Jos Ivan'}, {'from': 'gpt', 'value': 'The man said his name was Jos Ivan'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He sid he survived bNy catcing iturtles and Pirds'}, {'from': 'gpt', 'value': 'He said he survived by catching turtles and birds'}]"
"[{'from': 'human', 'value': 'Correct this sentence: There wa sno fishingequipmetn on thhb oat but aXtDrtle was inside whPn itV washed up'}, {'from': 'gpt', 'value': 'There was no fishing equipment on the boat but a turtle was inside when it washed up'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Teh boat looks lDike ithasZbeen in thb water for a Zong time Fjeldstad sOaid'}, {'from': 'gpt', 'value': 'The boat looks like it has been in the water for a long time Fjeldstad said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Them aYor contacted thSd AMinistry of FoPreign AffairsQin XMajuro he MarBshall Islans capital'}, {'from': 'gpt', 'value': 'The mayor contacted the Ministry of Foreign Affairs in Majuro the Marshall Islands capital'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Hes staVing at the local council house andva failyJishPfeeding him said Fjedstad'}, {'from': 'gpt', 'value': 'Hes staying at the local council house and a family is feeding him said Fjeldstad'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Were givig ihm a lot o fwJtera and hes getFting stroynger'}, {'from': 'gpt', 'value': 'Were giving him a lot of water and hes getting stronger'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The main anger foir castawaos are cod and a lack zf drinking water'}, {'from': 'gpt', 'value': 'The main dangers for castaways are cold and a lack of drinking water'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Tt baLic ule si no waternos food'}, {'from': 'gpt', 'value': 'The basic rule is no water no food'}]"
"[{'from': 'human', 'value': 'Correct this sentence: You neec water to dAigest protein'}, {'from': 'gpt', 'value': 'You need water to digest protein'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Also some pople are more able yto surivve than others'}, {'from': 'gpt', 'value': 'Also some people are more able to survive than others'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Stories of survival in the Pacifbic OcPean are not rare'}, {'from': 'gpt', 'value': 'Stories of survival in the Pacific Ocean are not rare'}]"
"[{'from': 'human', 'value': 'Correct this sentence: They said they survived Nor nine months at ea on ad iet fof rainwdmer raw fish an dseabirds'}, {'from': 'gpt', 'value': 'They said they survived for nine months at sea on a diet of rainwater raw fish and seabirds'}]"
"[{'from': 'human', 'value': 'Correct this sentence: But Cliff Doning who taeches seaj srvival to sailors saidghe wasnt sure Pbout the latest story'}, {'from': 'gpt', 'value': 'But Cliff Downing who teaches sea survival to sailors said he wasnt sure about the latest story'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It just doesnt sound right ato me'}, {'from': 'gpt', 'value': 'It just doesnt sound right to me'}]"
"[{'from': 'human', 'value': 'Correct this sentence: There are 1001 hKazards that would makehis surviVcal for s longj veryKnuEiwkelyt'}, {'from': 'gpt', 'value': 'There are 1001 hazards that would make his survival for so long very unlikely'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Brazilian fishermQe rsehcuedq himj'}, {'from': 'gpt', 'value': 'Brazilian fishermen rescued him'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Theys urvived 38 dys on a lifeboat'}, {'from': 'gpt', 'value': 'They survived 38 days on a lifeboat'}]"
"[{'from': 'human', 'value': 'Correct this sentence: A fiuhing boat rescued Them'}, {'from': 'gpt', 'value': 'A fishing boat rescued them'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Bn 20o11 two fishermen aged 26 and 53 from the yRpublic of Kiribati rifteDd for 33 days'}, {'from': 'gpt', 'value': 'In 2011 two fishermen aged 26 and 53 from the Republic of Kiribati drifted for 33 days'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The US coasgtuard rescued them'}, {'from': 'gpt', 'value': 'The US coastguard rescued them'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Hes urvivMed 2s8 dayst sea bu his friends both died ofl thirst'}, {'from': 'gpt', 'value': 'He survived 28 days at sea but his friends both died of thirst'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Eevry omrning bfoFre Indias capitalgets too hot someo ld friends meet'}, {'from': 'gpt', 'value': 'Every morning before Indias capital gets too hot some old friends meet'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It is jthue only healthy way otstart thabday'}, {'from': 'gpt', 'value': 'It is the only healthy way to start the day'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Much bGetter thNN Qan egg or J sandwich or a cup of tea said srvind Singh at 6'}, {'from': 'gpt', 'value': 'Much better than an egg or a sandwich or a cup of tea said Arvind Singh at 6'}]"
"[{'from': 'human', 'value': 'Correct this sentence: 15am as he did hs breatihng exYercises'}, {'from': 'gpt', 'value': '15am as he did his breathing exercises'}]"
"[{'from': 'human', 'value': 'Correct this sentence: SighFa 42yearold salesman aKnd his mTriends are not alone'}, {'from': 'gpt', 'value': 'Singh a 42yearold salesman and his friends are not alone'}]"
"[{'from': 'human', 'value': 'Correct this sentence: All acuross India you can ese people doing yogzatogxther'}, {'from': 'gpt', 'value': 'All across India you can see people doing yoga together'}]"
"[{'from': 'human', 'value': 'Correct this sentence: On the grass near India Vatk up to 45000 evple wifl take part in a 35Wminute class'}, {'from': 'gpt', 'value': 'On the grass near India Gate up to 45000 people will take part in a 35minute class'}]"
"[{'from': 'human', 'value': 'Correct this sentence: They hope it ill be te biggeXst ygS session evexr'}, {'from': 'gpt', 'value': 'They hope it will be the biggest yoga session ever'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Tee participantsT Uill include 64yearoldM odi mmofst of his government and ceebRrities'}, {'from': 'gpt', 'value': 'The participants will include 64yearold Modi most of his government and celebrities'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Modi watso encourageknIndians andPIothersto stretch'}, {'from': 'gpt', 'value': 'Modi wants to encourage Indians and others to stretch'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Prodi and hiscBharatiyaJ anaeta Party won txe Indiaan election in 20y4'}, {'from': 'gpt', 'value': 'Modi and his Bharatiya Janata Party won the Indian election in 2014'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Everybody iYn IndUa knows that theUir polic ofvicers are ut of shape'}, {'from': 'gpt', 'value': 'Everybody in India knows that their police officers are out of shape'}]"
"[{'from': 'human', 'value': 'Correct this sentence: So ndaia wantsh to introduce comulsorry og forthe'}, {'from': 'gpt', 'value': 'So India wants to introduce compulsory yoga for them'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Ad thee millino civin servants andtheir families will geti free daily yoga lessons'}, {'from': 'gpt', 'value': 'And three million civil servants and their families will get free daily yoga lessons'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Air India the national airline has also sai dRt will introduce yoRga for btrainee plots'}, {'from': 'gpt', 'value': 'Air India the national airline has also said it will introduce yoga for trainee pilots'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Modi is ao vRgetrian and a yoga peraxtitioner'}, {'from': 'gpt', 'value': 'Modi is a vegetarian and a yoga practitioner'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Modi said that yoga is a gJft of Indias ancient tradition'}, {'from': 'gpt', 'value': 'Modi said that yoga is a gift of Indias ancient tradition'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Yoga is etween3000 and 6000 yeasr old'}, {'from': 'gpt', 'value': 'Yoga is between 3000 and 6000 years old'}]"
"[{'from': 'human', 'value': 'Correct this sentence: In anicenm India yoga was part of daily life'}, {'from': 'gpt', 'value': 'In ancient India yoga was part of daily life'}]"
"[{'from': 'human', 'value': 'Correct this sentence: IUt is a cheap way to stay hearlthy'}, {'from': 'gpt', 'value': 'It is a cheap way to stay healthy'}]"
"[{'from': 'human', 'value': 'Correct this sentence: BsLfords pitures of aniGmakls andFplants in Secret Gaden have esold more than 1'}, {'from': 'gpt', 'value': 'Basfords pictures of animals and plants in Secret Garden have sold more than 1'}]"
"[{'from': 'human', 'value': 'Correct this sentence:  million copie around the world andIher nextboo kEnchante ForeNt  has sold 226000 copiPs already'}, {'from': 'gpt', 'value': '4 million copies around the world and her next book Enchanted Forest  has sold 226000 copies already'}]"
"[{'from': 'human', 'value': 'Correct this sentence: We knew tlh Xooks oguld be baeutiful but we didnt Realiz they would be such ab gg success'}, {'from': 'gpt', 'value': 'We knew the books would be beautiful but we didnt realize they would be such a big success'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Hd Pt s not just Basfor sbooks that adults want to Dolour in'}, {'from': 'gpt', 'value': 'And it is not just Basfords books that adults want to colour in'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Bdasfords books are in second aEd eighth place  Fo half of Amazon'}, {'from': 'gpt', 'value': 'Basfords books are in second and eighth place  so half of Amazon'}]"
"[{'from': 'human', 'value': 'Correct this sentence: us topten isN filled b ycodourinO books for adults'}, {'from': 'gpt', 'value': 'uks top ten is filled by colouring books for adults'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Inependent K publishe Michael OMara has sold aronK 430E000 adult colousiEng Cbooks'}, {'from': 'gpt', 'value': 'Independent UK publisher Michael OMara has sold around 340000 adult colouring books'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Ana McLaughin works for themU'}, {'from': 'gpt', 'value': 'Ana McLaughlin works for them'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The firsty ooock we did was in2 012 Cretaivz Colouring for GrownUps'}, {'from': 'gpt', 'value': 'The first book we did was in 2012 Creative Colouring for GrownUps'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Iot sol dwellbut it was in 201m4 that dult clouring books became really poplar wtih Art TTeray'}, {'from': 'gpt', 'value': 'It sold well but it was in 2014 that adult colouring books became really popular with Art Therapy'}]"
"[{'from': 'human', 'value': 'Correct this sentence: This makes you relax as you fill thes pags wtih colour'}, {'from': 'gpt', 'value': 'This makes you relax as you fill these pages with colour'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Tho boeJk suggests that pevople Ntak a few miinutes wherPver you arSe and colouJr yor way to peace'}, {'from': 'gpt', 'value': 'The book suggests that people take a few minutes wherever you are and colour your way to peace'}]"
